DEVICE_ID,MATNR,CONFIDENCE
DEV-MISSING,MAT-2000,0.8
DEV-IP200,MAT-MISSING,0.8
DEV-IP200,MAT-HELIX-01,0.82
DEV-IP200,MAT-2000,0.91
DEV-3000,MAT-2000,0.6
DEV-3000,MAT-2001,0.6799999999999999
DEV-3000,MAT-2002,0.76
DEV-3000,MAT-2003,0.84
DEV-3000,MAT-2004,0.9199999999999999
DEV-3000,MAT-2005,0.6
DEV-3001,MAT-2005,0.6
DEV-3001,MAT-2006,0.6799999999999999
DEV-3001,MAT-2007,0.76
DEV-3001,MAT-2008,0.84
DEV-3001,MAT-2009,0.9199999999999999
DEV-3001,MAT-2010,0.6
DEV-3002,MAT-2010,0.6
DEV-3002,MAT-2011,0.6799999999999999
DEV-3002,MAT-2012,0.76
DEV-3002,MAT-2013,0.84
DEV-3002,MAT-2014,0.9199999999999999
DEV-3002,MAT-2015,0.6
DEV-3003,MAT-2015,0.6
DEV-3003,MAT-2016,0.6799999999999999
DEV-3003,MAT-2017,0.76
DEV-3003,MAT-2018,0.84
DEV-3003,MAT-2019,0.9199999999999999
DEV-3003,MAT-2020,0.6
DEV-3004,MAT-2020,0.6
DEV-3004,MAT-2021,0.6799999999999999
DEV-3004,MAT-2022,0.76
DEV-3004,MAT-2023,0.84
DEV-3004,MAT-2024,0.9199999999999999
DEV-3004,MAT-2025,0.6
DEV-3005,MAT-2025,0.6
DEV-3005,MAT-2026,0.6799999999999999
DEV-3005,MAT-2027,0.76
DEV-3005,MAT-2028,0.84
DEV-3005,MAT-2029,0.9199999999999999
DEV-3005,MAT-2030,0.6
DEV-3006,MAT-2030,0.6
DEV-3006,MAT-2031,0.6799999999999999
DEV-3006,MAT-2032,0.76
DEV-3006,MAT-2033,0.84
DEV-3006,MAT-2034,0.9199999999999999
DEV-3006,MAT-2035,0.6
DEV-3007,MAT-2035,0.6
DEV-3007,MAT-2036,0.6799999999999999
DEV-3007,MAT-2037,0.76
DEV-3007,MAT-2000,0.84
DEV-3007,MAT-2001,0.9199999999999999
DEV-3007,MAT-2002,0.6
DEV-3008,MAT-2002,0.6
DEV-3008,MAT-2003,0.6799999999999999
DEV-3008,MAT-2004,0.76
DEV-3008,MAT-2005,0.84
DEV-3008,MAT-2006,0.9199999999999999
DEV-3008,MAT-2007,0.6
DEV-3009,MAT-2007,0.6
DEV-3009,MAT-2008,0.6799999999999999
DEV-3009,MAT-2009,0.76
DEV-3009,MAT-2010,0.84
DEV-3009,MAT-2011,0.9199999999999999
DEV-3009,MAT-2012,0.6
