LIFNR,MATNR,CONFIDENCE
999999,MAT-2000,0.9
100301,MAT-9999,0.9
100701,MAT-HELIX-01,0.48
100301,MAT-2000,0.92
100301,MAT-2001,0.88
101000,MAT-2000,0.55
101000,MAT-2001,0.65
101000,MAT-2002,0.75
101001,MAT-2003,0.65
101001,MAT-2004,0.75
101001,MAT-2005,0.8500000000000001
101002,MAT-2006,0.75
101002,MAT-2007,0.8500000000000001
101002,MAT-2008,0.55
101003,MAT-2009,0.8500000000000001
101003,MAT-2010,0.55
101003,MAT-2011,0.65
101004,MAT-2012,0.55
101004,MAT-2013,0.65
101004,MAT-2014,0.75
101005,MAT-2015,0.65
101005,MAT-2016,0.75
101005,MAT-2017,0.8500000000000001
101006,MAT-2018,0.75
101006,MAT-2019,0.8500000000000001
101006,MAT-2020,0.55
101007,MAT-2021,0.8500000000000001
101007,MAT-2022,0.55
101007,MAT-2023,0.65
101008,MAT-2024,0.55
101008,MAT-2025,0.65
101008,MAT-2026,0.75
101009,MAT-2027,0.65
101009,MAT-2028,0.75
101009,MAT-2029,0.8500000000000001
101010,MAT-2030,0.75
101010,MAT-2031,0.8500000000000001
101010,MAT-2032,0.55
101011,MAT-2033,0.8500000000000001
101011,MAT-2034,0.55
101011,MAT-2035,0.65
