LIFNR,NAME1,LAND1,TIER,DUNS,QUALITY_RATING,CERTIFICATIONS
,Ghost Vendor,DE,TIER_2,,70,
100001,   ,DE,TIER_2,,70,
100002,Bad Tier AG,DE,TIER_9,,70,
100003,Bad Rating GmbH,DE,TIER_2,,excellent,
100004,First LIFNR Row,DE,TIER_2,,72,
100004,Duplicate LIFNR Row,DE,TIER_2,,72,
100301,MedSource GmbH,DE,TIER_1,314159265,88,ISO 13485|ISO 9001
100302,MedSource G.m.b.H.,DE,TIER_1,314159265,88,ISO 13485
100303,  MEDSOURCE   GMBH  ,DE,TIER_1,314159265,87,ISO 13485
100401,Nordic Sterile Solutions GmbH,SE,TIER_1,271828182,91,ISO 13485
100402,Nordic Sterile Solutions GMBH,SE,TIER_1,271828182,90,ISO 13485
100501,Alpine Polymers GmbH,AT,TIER_2,161803398,79,
100502,Polymers Alpine GmbH,AT,TIER_2,161803398,78,
100601,Bavarian Medical Supplies GmbH,DE,TIER_2,123450001,76,ISO 9001
100602,Bavarian Med. Supplies G.m.b.H.,DE,TIER_2,123450001,75,ISO 9001
100611,Rhine Valley Polymers Ltd,DE,TIER_3,123450002,68,
100612,Rhine Vly Polymers Ltd.,DE,TIER_3,123450002,67,
100801,Alpha Med Devices GmbH,DE,TIER_2,990001001,74,
100802,Alpha Med Diagnostics GmbH,DE,TIER_2,990001002,73,
100701,Helix Components International GmbH,CH,TIER_2,424242424,62,ISO 13485
100702,Helix Components Intl.  G.m.b.H.,CH,TIER_2,424242424,61,ISO 13485
101000,Tier One Partner 1 GmbH,DE,TIER_1,,80,ISO 13485
101001,Tier One Partner 2 GmbH,US,TIER_1,,81,ISO 13485
101002,Tier One Partner 3 GmbH,MX,TIER_1,,82,ISO 13485
101003,Tier One Partner 4 GmbH,DE,TIER_1,,83,ISO 13485
101004,Tier One Partner 5 GmbH,US,TIER_1,,84,ISO 13485
101005,Tier One Partner 6 GmbH,MX,TIER_1,,80,ISO 13485
101006,Tier One Partner 7 GmbH,DE,TIER_1,,81,ISO 13485
101007,Tier One Partner 8 GmbH,US,TIER_1,,82,ISO 13485
101008,Tier One Partner 9 GmbH,MX,TIER_1,,83,ISO 13485
101009,Tier One Partner 10 GmbH,DE,TIER_1,,84,ISO 13485
101010,Tier One Partner 11 GmbH,US,TIER_1,,80,ISO 13485
101011,Tier One Partner 12 GmbH,MX,TIER_1,,81,ISO 13485
